date	level	depth
2012-06-12	-211	42
2012-06-13	-211	42
2012-06-14	-211	42
2012-06-15	-211	42
2012-06-16	-211	42
2012-06-17	-211	42
2012-06-18	-211	42
2012-06-19	-211	42
2012-06-20	-211	42
2012-06-21	-211	42
2012-06-22	-211	42
2012-06-23	-211	42
2012-06-24	-211	42
2012-06-25	-211	42
2012-06-26	-211	42
2012-06-27	-211	42
2012-06-28	-211	42
2012-06-29	-211	42
2012-06-30	-212	42
2012-07-01	-212	41
2012-07-02	-212	41
2012-07-03	-212	41
2012-07-04	-212	41
2012-07-05	-212	41
2012-07-06	-212	41
2012-07-07	-212	41
2012-07-08	-212	41
2012-07-09	-212	41
2012-07-10	-212	41
2012-07-11	-212	41
2012-07-12	-212	41
2012-07-13	-212	41
2012-07-14	-212	41
2012-07-15	-212	41
2012-07-16	-212	41
2012-07-17	-212	41
2012-07-18	-212	41
2012-07-19	-212	41
2012-07-20	-212	41
2012-07-21	-212	41
2012-07-22	-212	41
2012-07-23	-212	41
2012-07-24	-212	41
2012-07-25	-212	41
2012-07-26	-212	41
2012-07-27	-212	41
2012-07-28	-212	41
2012-07-29	-212	41
2012-07-30	-212	41
2012-07-31	-212	41
2012-08-01	-212	41
2012-08-02	-212	41
2012-08-03	-212	41
2012-08-04	-212	41
2012-08-05	-212	41
2012-08-06	-212	41
2012-08-07	-212	41
2012-08-08	-212	41
2012-08-09	-212	41
2012-08-10	-212	41
2012-08-11	-212	41
2012-08-12	-212	41
2012-08-13	-212	41
2012-08-14	-212	41
2012-08-15	-212	41
2012-08-16	-212	41
2012-08-17	-212	41
2012-08-18	-212	41
2012-08-19	-212	41
2012-08-20	-212	41
2012-08-21	-212	41
2012-08-22	-212	41
2012-08-23	-212	41
2012-08-24	-212	41
2012-08-25	-212	41
2012-08-26	-212	41
2012-08-27	-212	41
2012-08-28	-212	41
2012-08-29	-212	41
2012-08-30	-212	41
2012-08-31	-212	41
2012-09-01	-212	41
2012-09-02	-212	41
2012-09-03	-212	41
2012-09-04	-212	41
2012-09-05	-212	41
2012-09-06	-212	41
2012-09-07	-212	41
2012-09-08	-212	41
2012-09-09	-212	41
2012-09-10	-212	41
2012-09-11	-212	41
2012-09-12	-212	41
2012-09-13	-212	41
2012-09-14	-212	41
2012-09-15	-212	41
2012-09-16	-212	41
2012-09-17	-212	41
2012-09-18	-212	41
2012-09-19	-212	41
2012-09-20	-212	41
2012-09-21	-212	41
2012-09-22	-212	41
2012-09-23	-212	41
2012-09-24	-212	41
2012-09-25	-212	41
2012-09-26	-212	41
2012-09-27	-212	41
2012-09-28	-212	41
2012-09-29	-212	41
2012-09-30	-212	41
2012-10-01	-212	41
2012-10-02	-212	41
2012-10-03	-212	41
2012-10-04	-212	41
2012-10-05	-212	41
2012-10-06	-212	41
2012-10-07	-212	41
2012-10-08	-212	41
2012-10-09	-212	41
2012-10-10	-212	41
2012-10-11	-212	41
2012-10-12	-212	41
2012-10-13	-212	41
2012-10-14	-212	41
2012-10-15	-212	41
2012-10-16	-212	41
2012-10-17	-212	41
2012-10-18	-212	41
2012-10-19	-212	41
2012-10-20	-212	41
2012-10-21	-212	41
2012-10-22	-212	41
2012-10-23	-212	41
2012-10-24	-212	41
2012-10-25	-212	41
2012-10-26	-212	41
2012-10-27	-212	41
2012-10-28	-212	41
2012-10-29	-212	41
2012-10-30	-212	41
2012-10-31	-212	41
2012-11-01	-212	41
2012-11-02	-212	41
2012-11-03	-212	41
2012-11-04	-212	41
2012-11-05	-212	41
2012-11-06	-212	41
2012-11-07	-212	41
2012-11-08	-212	41
2012-11-09	-212	41
2012-11-10	-212	41
2012-11-11	-212	41
2012-11-12	-212	41
2012-11-13	-212	41
2012-11-14	-212	41
2012-11-15	-212	41
2012-11-16	-212	41
2012-11-17	-212	41
2012-11-18	-212	41
2012-11-19	-212	41
2012-11-20	-212	41
2012-11-21	-212	41
2012-11-22	-212	41
2012-11-23	-212	41
2012-11-24	-212	41
2012-11-25	-212	41
2012-11-26	-212	41
2012-11-27	-212	41
2012-11-28	-212	41
2012-11-29	-212	41
2012-11-30	-212	41
2012-12-01	-212	41
2012-12-02	-212	41
2012-12-03	-212	41
2012-12-04	-212	41
2012-12-05	-212	41
2012-12-06	-212	41
2012-12-07	-212	41
2012-12-08	-212	41
2012-12-09	-212	41
2012-12-10	-212	41
2012-12-11	-212	41
2012-12-12	-212	41
2012-12-13	-212	41
2012-12-14	-212	41
2012-12-15	-212	41
2012-12-16	-212	41
2012-12-17	-212	41
2012-12-18	-212	41
2012-12-19	-212	41
2012-12-20	-212	41
2012-12-21	-212	41
2012-12-22	-212	41
2012-12-23	-212	41
2012-12-24	-212	41
2012-12-25	-212	41
2012-12-26	-212	41
2012-12-27	-212	41
2012-12-28	-212	41
2012-12-29	-212	41
2012-12-30	-212	41
2012-12-31	-212	41
2013-01-01	-212	41
2013-01-02	-212	41
2013-01-03	-212	41
2013-01-04	-212	41
2013-01-05	-212	41
2013-01-06	-212	41
2013-01-07	-212	41
2013-01-08	-212	42
2013-01-09	-211	42
2013-01-10	-211	42
2013-01-11	-211	42
2013-01-12	-211	42
2013-01-13	-211	42
2013-01-14	-211	42
2013-01-15	-211	42
2013-01-16	-211	42
2013-01-17	-211	42
2013-01-18	-211	42
2013-01-19	-211	42
2013-01-20	-211	42
2013-01-21	-211	42
2013-01-22	-211	42
2013-01-23	-211	42
2013-01-24	-211	42
2013-01-25	-211	42
2013-01-26	-211	42
2013-01-27	-211	42
2013-01-28	-211	42
2013-01-29	-211	42
2013-01-30	-211	42
2013-01-31	-211	42
2013-02-01	-211	42
2013-02-02	-211	42
2013-02-03	-211	42
2013-02-04	-211	42
2013-02-05	-211	42
2013-02-06	-211	42
2013-02-07	-211	42
2013-02-08	-211	42
2013-02-09	-210	43
2013-02-10	-210	43
2013-02-11	-210	43
2013-02-12	-210	43
2013-02-13	-210	43
2013-02-14	-210	43
2013-02-15	-210	43
2013-02-16	-210	43
2013-02-17	-210	43
2013-02-18	-210	43
2013-02-19	-210	43
2013-02-20	-210	43
2013-02-21	-210	43
2013-02-22	-210	43
2013-02-23	-210	43
2013-02-24	-210	43
2013-02-25	-210	43
2013-02-26	-210	43
2013-02-27	-210	43
2013-02-28	-210	43
2013-03-01	-210	43
2013-03-02	-210	43
2013-03-03	-210	43
2013-03-04	-210	43
2013-03-05	-210	43
2013-03-06	-210	43
2013-03-07	-210	43
2013-03-08	-210	43
2013-03-09	-210	43
2013-03-10	-210	43
2013-03-11	-210	43
2013-03-12	-210	43
2013-03-13	-210	43
2013-03-14	-210	43
2013-03-15	-210	43
2013-03-16	-210	43
2013-03-17	-210	43
2013-03-18	-210	43
2013-03-19	-210	43
2013-03-20	-210	43
2013-03-21	-210	43
2013-03-22	-210	43
2013-03-23	-210	43
2013-03-24	-210	43
2013-03-25	-210	43
2013-03-26	-210	43
2013-03-27	-210	43
2013-03-28	-210	43
2013-03-29	-210	43
2013-03-30	-210	43
2013-03-31	-210	43
2013-04-01	-210	43
2013-04-02	-210	43
2013-04-03	-210	43
2013-04-04	-210	43
2013-04-05	-210	43
2013-04-06	-210	43
2013-04-07	-210	43
2013-04-08	-210	43
2013-04-09	-210	43
2013-04-10	-210	43
2013-04-11	-210	43
2013-04-12	-210	43
2013-04-13	-210	43
2013-04-14	-210	43
2013-04-15	-210	43
2013-04-16	-210	43
2013-04-17	-210	43
2013-04-18	-210	43
2013-04-19	-210	43
2013-04-20	-210	43
2013-04-21	-210	43
2013-04-22	-210	43
2013-04-23	-210	43
2013-04-24	-210	43
2013-04-25	-210	43
2013-04-26	-210	43
2013-04-27	-210	43
2013-04-28	-210	43
2013-04-29	-210	43
2013-04-30	-210	43
2013-05-01	-210	43
2013-05-02	-210	43
2013-05-03	-210	43
2013-05-04	-210	43
2013-05-05	-210	43
2013-05-06	-210	43
2013-05-07	-210	43
2013-05-08	-210	43
2013-05-09	-210	43
2013-05-10	-210	43
2013-05-11	-210	43
2013-05-12	-210	43
2013-05-13	-210	43
2013-05-14	-210	43
2013-05-15	-210	43
2013-05-16	-210	43
2013-05-17	-210	43
2013-05-18	-210	43
2013-05-19	-210	43
2013-05-20	-210	43
2013-05-21	-210	43
2013-05-22	-210	43
2013-05-23	-210	43
2013-05-24	-210	43
2013-05-25	-210	43
2013-05-26	-210	43
2013-05-27	-210	43
2013-05-28	-210	43
2013-05-29	-210	43
2013-05-30	-210	43
2013-05-31	-210	43
2013-06-01	-210	43
2013-06-02	-210	43
2013-06-03	-210	43
2013-06-04	-210	43
2013-06-05	-210	43
2013-06-06	-210	43
2013-06-07	-210	43
2013-06-08	-210	43
2013-06-09	-210	43
2013-06-10	-210	43
2013-06-11	-210	43
2013-06-12	-210	43
2013-06-13	-210	43
2013-06-14	-210	43
2013-06-15	-210	43
2013-06-16	-210	43
2013-06-17	-210	43
2013-06-18	-210	43
2013-06-19	-210	43
2013-06-20	-210	43
2013-06-21	-210	43
2013-06-22	-210	43
2013-06-23	-210	43
2013-06-24	-210	43
2013-06-25	-210	43
2013-06-26	-210	43
2013-06-27	-210	43
2013-06-28	-210	43
2013-06-29	-210	43
2013-06-30	-210	43
