Date	Time	Depth	Temp
2011-03-06	09:30	27	15.5
2011-03-06	09:30	28	15.4
2011-03-06	09:30	29	15.5
2011-03-06	09:30	30	15.4
2011-03-06	09:30	31	15.4
2011-03-06	09:30	32	15.3
2011-03-06	09:30	33	15.5
2011-03-06	09:30	34	15.3
2011-03-06	09:30	35	15.4
2011-03-20	09:00	0	18.4
2011-03-20	09:00	1	18.6
2011-03-20	09:00	2	18.6
2011-03-20	09:00	3	18.1
2011-03-20	09:00	4	17.1
2011-03-20	09:00	5	16.9
2011-03-20	09:00	6	16.8
2011-03-20	09:00	7	16.7
2011-03-20	09:00	8	16.6
2011-03-20	09:00	9	16.6
2011-03-20	09:00	10	16.6
2011-03-20	09:00	11	16.6
2011-03-20	09:00	12	16.6
2011-03-20	09:00	13	16.5
2011-03-20	09:00	14	16.5
2011-03-20	09:00	15	16.5
2011-03-20	09:00	16	16.5
2011-03-20	09:00	17	16.5
2011-03-20	09:00	18	16.5
2011-03-20	09:00	19	16.5
2011-03-20	09:00	20	16.5
2011-03-20	09:00	21	16.5
2011-03-20	09:00	22	16.5
2011-03-20	09:00	23	16.5
2011-03-20	09:00	24	16.5
2011-03-20	09:00	25	16.5
2011-03-20	09:00	26	16.5
2011-03-20	09:00	27	16.4
2011-03-20	09:00	28	16.4
2011-03-20	09:00	29	16.4
2011-03-20	09:00	30	16.4
2011-03-20	09:00	31	16.4
2011-03-20	09:00	32	16.4
2011-03-20	09:00	33	16.4
2011-03-20	09:00	34	16.4
2011-03-20	09:00	35	16.4
2011-03-20	09:00	36	16.4
2011-03-20	09:00	37	16.4
2011-03-27	10:44	0	18.0
2011-03-27	10:44	1	18.1
2011-03-27	10:52	2	18.1
2011-03-27	10:52	3	17.9
2011-03-27	10:53	4	17.9
2011-03-27	10:53	5	17.8
2011-03-27	10:53	6	17.8
2011-03-27	10:53	7	17.7
2011-03-27	10:54	8	17.3
2011-03-27	10:54	9	17.0
2011-03-27	10:54	10	17.0
2011-03-27	10:54	11	17.0
2011-03-27	10:54	12	16.9
2011-03-27	10:54	13	16.9
2011-03-27	10:55	14	16.8
2011-03-27	10:55	15	16.8
2011-03-27	10:55	16	16.8
2011-03-27	10:55	17	16.8
2011-03-27	10:55	18	16.8
2011-03-27	10:55	19	16.7
2011-03-27	10:55	20	16.7
2011-03-27	10:56	21	16.6
2011-03-27	10:56	22	16.6
2011-03-27	10:56	23	16.6
2011-03-27	10:56	24	16.5
2011-03-27	10:56	25	16.5
2011-03-27	10:57	26	16.5
2011-03-27	10:57	27	16.5
2011-03-27	10:57	28	16.5
2011-03-27	10:57	29	16.5
2011-03-27	10:57	30	16.5
2011-03-27	10:57	31	16.5
2011-03-27	10:57	32	16.5
2011-03-27	10:57	33	16.4
2011-03-27	10:58	34	16.4
2011-03-27	10:58	35	16.4
2011-03-27	10:58	36	16.4
2011-03-27	10:58	37	16.4
2011-04-03	09:44	0	19.6
2011-04-03	09:45	1	19.3
2011-04-03	09:45	2	19.2
2011-04-03	09:45	3	19.2
2011-04-03	09:45	4	19.2
2011-04-03	09:45	5	19.2
2011-04-03	09:45	6	19.0
2011-04-03	09:46	7	18.8
2011-04-03	09:46	8	18.7
2011-04-03	09:46	9	18.4
2011-04-03	09:46	10	18.0
2011-04-03	09:46	11	17.4
2011-04-03	09:47	12	17.0
2011-04-03	09:47	13	16.8
2011-04-03	09:47	14	16.8
2011-04-03	09:47	15	16.7
2011-04-03	09:47	16	16.7
2011-04-03	09:47	17	16.7
2011-04-03	09:47	18	16.6
2011-04-03	09:48	19	16.6
2011-04-03	09:48	20	16.6
2011-04-03	09:48	21	16.6
2011-04-03	09:48	22	16.6
2011-04-03	09:48	23	16.5
2011-04-03	09:48	24	16.5
2011-04-03	09:48	25	16.5
2011-04-03	09:49	26	16.5
2011-04-03	09:49	27	16.5
2011-04-03	09:49	28	16.5
2011-04-03	09:49	29	16.5
2011-04-03	09:49	30	16.5
2011-04-03	09:50	31	16.5
2011-04-03	09:50	32	16.5
2011-04-03	09:50	33	16.5
2011-04-03	09:50	34	16.5
2011-04-03	09:51	35	16.5
2011-04-03	09:51	36	16.5
2011-04-03	09:51	37	16.5
2011-04-10	09:40	0	19.2
2011-04-10	09:40	1	19.2
2011-04-10	09:40	2	19.1
2011-04-10	09:41	3	19.1
2011-04-10	09:41	4	19.1
2011-04-10	09:41	5	19.1
2011-04-10	09:41	6	19.1
2011-04-10	09:41	7	19.1
2011-04-10	09:41	8	18.9
2011-04-10	09:41	9	18.6
2011-04-10	09:41	10	18.3
2011-04-10	09:41	11	17.8
2011-04-10	09:42	12	17.5
2011-04-10	09:42	13	17.4
2011-04-10	09:42	14	17.4
2011-04-10	09:42	15	17.3
2011-04-10	09:42	16	17.1
2011-04-10	09:42	17	17.0
2011-04-10	09:43	18	16.9
2011-04-10	09:43	19	16.8
2011-04-10	09:43	20	16.7
2011-04-10	09:43	21	16.7
2011-04-10	09:43	22	16.7
2011-04-10	09:43	23	16.7
2011-04-10	09:43	24	16.6
2011-04-10	09:44	25	16.6
2011-04-10	09:44	26	16.6
2011-04-10	09:44	27	16.6
2011-04-10	09:44	28	16.6
2011-04-10	09:44	29	16.6
2011-04-10	09:44	30	16.6
2011-04-10	09:44	31	16.6
2011-04-10	09:44	32	16.5
2011-04-10	09:44	33	16.5
2011-04-10	09:45	34	16.5
2011-04-10	09:45	35	16.5
2011-04-10	09:45	36	16.5
2011-04-10	09:45	37	16.5
2011-04-10	09:45	38	16.5
2011-04-26	09:47	0	20.8
2011-04-26	09:47	1	20.7
2011-04-26	09:47	2	20.6
2011-04-26	09:47	3	20.5
2011-04-26	09:47	4	20.5
2011-04-26	09:47	5	20.4
